FileName,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,OutOfASCII,CharTotal, LineTotal, AvgCharPerLine, # of Strings, % of Space, # of Word, % of Word, Readable, RatioOfNum , RatioOfEng, RatioOfSpcChar, MaxCharNumPerLine, DistDegree,NumOfNumType,NumOfEngType,NumOfSpcType, MaxNumOfSpc, MaxNumOfSpcChar 
bootstrap-datepicker.lt.js,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,98,0,2,0,0,2,3,3,5,0,49,3,5,2,0,1,0,0,0,0,0,0,0,0,10,3,1,1,1,0,1,3,4,0,0,0,0,5,0,1,0,5,5,2,0,0,6,1,4,10,4,0,2,0,0,0,0,6,0,6,0,0,0,44,2,5,19,31,4,6,8,45,3,8,10,8,29,18,10,0,26,37,29,15,4,1,0,11,0,2,0,2,0,15,812,19,42.7,49,18.10%,,,,0.1,52.3,25.2,150,0%,1,36,20,98,34
bin.js,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,2,0,0,24,21,21,2,0,24,4,24,24,0,0,0,0,0,0,0,0,0,0,6,15,5,9,10,3,1,0,7,0,0,0,0,0,0,2,0,0,3,2,0,0,5,0,5,0,2,0,0,0,0,0,0,8,20,8,0,5,0,31,14,22,21,74,28,15,15,57,4,1,26,21,64,56,23,1,92,43,63,40,5,6,8,2,0,11,0,11,0,0,1164,26,44.8,0,10.50%,,,,0,65.1,22.2,116,0%,0,32,22,24,39
map.js,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,4,9,9,0,2,10,0,1,2,1,0,0,0,0,0,0,0,0,0,0,13,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,35,6,24,4,29,9,0,3,12,0,6,19,4,21,18,10,0,37,11,21,12,8,3,3,4,0,4,4,4,0,0,539,20,26.9,0,25.20%,,,,0.2,56.2,14.7,69,0%,1,24,15,13,59
ensureAsync.js,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,811,2,4,0,0,0,0,24,85,85,0,0,33,0,46,5,0,12,12,0,12,12,0,0,0,0,2,58,0,17,0,0,0,9,8,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,21,102,37,155,33,28,9,56,0,6,54,4,132,80,44,20,92,72,115,62,12,8,33,30,0,18,0,18,0,0,2662,85,31.3,2,30.50%,,,,1.8,49.6,14.9,93,0%,4,28,13,85,40
datepicker-fo.js,0,0,0,0,0,0,0,0,0,43,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,108,2,0,0,4,0,8,8,4,0,56,2,14,10,0,1,0,2,0,0,0,0,0,0,15,8,0,4,0,0,1,6,1,1,5,1,8,0,4,1,6,0,5,14,8,3,0,2,2,9,8,1,1,1,0,1,0,6,0,6,0,0,0,61,8,17,29,86,23,20,8,41,3,14,18,19,36,35,15,0,65,33,47,34,5,4,8,18,0,5,0,5,0,14,1190,45,26.4,54,7.10%,,,,0.3,61.8,22.4,66,0%,2,45,18,108,34
datepicker-kk.js,0,0,0,0,0,0,0,0,0,28,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,108,2,0,0,4,0,10,10,4,0,55,1,19,10,0,1,0,2,0,0,0,0,1,0,15,8,0,4,0,0,1,2,1,1,4,1,2,0,1,1,0,2,1,3,5,0,0,2,2,3,6,2,0,1,0,1,0,6,0,6,0,0,0,45,2,17,22,63,19,8,8,36,2,17,14,17,26,28,11,0,38,23,42,12,3,4,8,19,1,5,0,5,0,215,1167,37,31.5,54,7.20%,,,,0.3,45.1,23.4,86,0%,3,44,18,108,34
run-tests-browser-runner.js,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548,3,0,0,0,0,2,22,53,53,2,1,8,8,53,11,2,0,0,0,0,0,0,0,1,0,1,43,0,31,3,0,0,0,3,1,1,2,2,1,1,1,0,0,0,3,1,1,13,1,8,2,7,1,0,2,0,0,0,0,2,0,0,13,0,91,14,43,38,219,22,43,39,77,8,5,63,16,84,80,34,3,131,128,150,55,8,42,3,13,0,25,4,25,0,12,2493,107,23.3,0,22.00%,,,,0.1,58.6,14.6,82,0%,2,43,20,53,40
timeout.js,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1407,0,8,1,0,0,0,64,110,110,0,0,44,0,69,1,11,4,3,0,1,14,0,4,1,0,1,54,1,4,0,0,0,0,0,4,4,8,11,0,0,17,0,0,0,4,0,4,0,0,0,0,15,4,0,0,0,0,0,7,8,7,0,0,0,100,27,125,43,188,46,4,5,116,0,20,109,46,145,112,24,21,66,70,179,118,4,8,21,24,0,31,0,31,0,0,3796,108,35.1,4,37.10%,,,,1,44.6,14.5,92,0%,7,33,17,110,40
bootstrap-datepicker.mn.js,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,96,0,2,0,0,2,3,3,5,0,48,1,7,2,0,1,0,0,0,0,0,0,0,0,9,3,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,1,0,0,0,0,0,0,6,0,6,0,0,0,16,1,5,11,11,4,2,4,7,1,3,4,8,15,18,3,0,15,10,17,4,2,1,0,11,0,2,0,2,0,176,717,17,42.2,48,19.70%,,,,0.1,25.2,28,120,0%,1,28,20,96,34
workspaces.js,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,32,16,16,1,0,29,8,28,20,0,3,2,0,0,0,0,0,0,0,19,14,4,7,7,3,1,1,4,3,4,1,0,0,0,0,1,0,2,0,0,1,3,0,3,4,0,0,0,4,0,0,0,5,0,5,0,2,0,50,2,61,20,98,32,18,13,53,7,22,16,22,49,77,50,1,95,73,58,19,3,20,6,2,0,12,0,12,0,0,1385,44,31.5,0,14.20%,,,,0.4,64.8,17.4,94,0%,2,37,20,32,39
