FileName,CharTotal, LineTotal, AvgCharPerLine, # of Strings, % of Space, # of Word, % of Word, Readable, RatioOfNum , RatioOfEng, RatioOfSpcChar, MaxCharNumPerLine, DistDegree,NumOfNumType,NumOfEngType,NumOfSpcType, MaxNumOfSpc, MaxNumOfSpcChar 
20170323_05a3cc924d4c8c0699f8d72342482e51.js,946,32,29.6,26,0.075,,,,4.3,56.2,23.7,169,18.54901961,9,51,22,52,34
20170301_bf55dc97b611f894f3550515d45a4171.js,928,45,20.6,28,0.067,,,,4.1,56.7,23.7,160,19.33333333,9,48,21,56,34
20170418_25b22140b6ec655fcf23fa5e83f3c788.js,1767,37,47.8,42,0.019,,,,19.1,50.7,26.1,159,35.34,9,50,16,203,58
20170429_4c2d0733f82ead23bfb04361a578a813.js,16330,1574,10.4,160,0.004,,,,0.1,60.3,29.6,150,314.0384615,8,52,14,2836,39
20170501_018edd4b581516682574e305c835c5c9.js,18667,1736,10.8,514,0.004,,,,1.8,59,29.5,150,358.9807692,10,52,15,2450,39
20170225_3557e92ea687a0986e58b05d7751da70.js,752,35,21.5,23,0.069,,,,4.5,56.9,23,149,16.34782609,9,46,20,46,34
20170429_44e48fdaf95ed83598d3f349bf9f725d.js,16250,1523,10.7,149,0.004,,,,0.1,61.4,28.8,148,312.5,7,52,14,2756,39
20170422_95f0a090cb014a211484ce040fe598b3.js,2443,60,40.7,52,0.025,,,,13.8,59.1,22.1,148,46.98076923,10,52,16,203,58
20170429_878076717820bc0bd9900d74e3807a85.js,15654,1468,10.7,130,0.004,,,,0.1,61.3,28.8,147,301.0384615,6,52,14,2684,39
20170506_31f70631beadb9272ddd0cd71c2e811b.js,13944,572,24.4,16,0.004,,,,2.5,78.3,14.7,146,268.1538462,10,52,14,1132,39
20170223_bf0d33845db834a400d0e4b9e56ee02a.js,709,32,22.2,16,0.069,,,,4.2,59.1,21,145,14.77083333,10,48,19,32,34
20170409_00768c0e28bebe1b12fcfe4f0708b9cd.js,1108,42,26.4,15,0.08,,,,5.3,55.1,22.2,144,21.7254902,10,51,20,30,34
20170313_a8b6123c442ac366c169415e4c5f5c6e.js,649,28,23.2,13,0.054,,,,4.3,59.8,20.5,142,13.24489796,8,49,21,26,34
20170413_ac9d2fdbb684c00aa1d3f02bd0806898.js,1244,43,28.9,21,0.095,,,,6.6,52.9,22.7,141,25.91666667,10,48,22,42,34
20170424_156a1010d238576eec0219d666e308cf.js,2417,59,41,55,0.025,,,,14,59,22.1,140,46.48076923,10,52,16,203,58
20170318_3170ec01a7c33215b9b942e6679208b0.js,775,33,23.5,18,0.068,,,,5.4,55.9,21.8,140,15.81632653,10,49,21,36,34
20170408_4eafcdb770a1f045af43a9b3d4705acb.js,1105,42,26.3,15,0.081,,,,5.3,54.9,22.3,140,22.1,10,50,20,30,34
20170302_62a7cd7b44ecf34e189522f1484ba399.js,840,37,22.7,20,0.065,,,,4.4,55.2,22.6,139,16.8,10,50,22,40,34
20170331_3e38dd52734be11f4c47ab5128f493be.js,1094,44,24.9,19,0.061,,,,6.7,52.5,23.7,139,21.88,10,50,21,38,34
20170314_9bb8f3a5628be4329860313e6dbd28ed.js,651,29,22.4,14,0.058,,,,4.5,58.1,21.5,139,12.51923077,8,52,21,28,34
20170428_59f7e8c84a76dd9f76b002faa93f70df.js,1340,46,29.1,16,0.087,,,,6.2,54.9,22.6,138,26.8,10,50,22,36,59
20170309_527ea84738202cf415cad1e786c87e0a.js,618,28,22.1,8,0.052,,,,5.7,59.7,19.4,137,12.36,9,50,21,19,46
20170416_defe03abd03bc238f28294c00d6d2a96.js,1316,45,29.2,20,0.095,,,,5.9,53.5,22.9,136,27.41666667,10,48,22,40,34
20170404_6a2cce2ba0dcee0647a17c28bdfb6999.js,1094,45,24.3,19,0.066,,,,5.9,52.8,23.5,136,22.32653061,10,49,21,38,34
20170430_acb2d22a30f0863ca73d845ec66bc85e.js,1328,44,30.2,16,0.087,,,,6.2,55.6,22.3,136,26.56,9,50,22,34,59
20170401_6488b5fc036553fdad166bc1f6ab2b77.js,1088,44,24.7,17,0.062,,,,6.6,52.1,23.9,136,21.33333333,10,51,21,34,34
20170402_620f42a48c2375d42e73510482873a8b.js,1067,45,23.7,17,0.066,,,,6.8,50.9,23.9,135,21.34,10,50,21,34,34
20170321_1f9962e3782d65de0ca96cc8ea1525a2.js,835,36,23.2,19,0.074,,,,4.6,56.2,21.7,134,17.04081633,9,49,21,38,34
20170317_d4ca26bad63fed4dae920fb0ee1f1fca.js,767,33,23.2,17,0.069,,,,4.7,56.6,21.6,134,15.34,8,50,21,34,34
20170407_dd1a8a2f582254c152a1e68bbc0c7358.js,1003,41,24.5,12,0.078,,,,5.9,54,21.9,132,20.89583333,10,48,20,26,59
20170503_8c12ccbd0edaf990cfa2b47eb9d3e60b.js,8838,836,10.6,319,0.008,,,,3.8,54,31.9,131,169.9615385,10,52,15,1042,39
20170421_c763c2c7715e3d96c750d7c604dd61be.js,1313,44,29.8,18,0.088,,,,6.6,54.8,22.7,131,26.26,10,50,21,36,34
20170310_946474cd9cc88ffed5cf2e12d64b523c.js,607,28,21.7,9,0.053,,,,6.8,57.7,20.1,130,11.67307692,10,52,21,19,46
20170419_8e2474f8a75c75a681a775290ab221c7.js,1840,50,36.8,51,0.022,,,,18.4,49.6,27.2,127,35.38461538,9,52,16,203,58
20170423_a889d75d9a46513974670685ef5aa504.js,2392,60,39.9,53,0.026,,,,14.1,58.4,22.4,126,46,10,52,16,203,58
20170412_5a0493b8e4e62ae6455d848b644c21a3.js,1232,43,28.7,20,0.086,,,,6.1,54.1,22.8,125,23.69230769,9,52,21,40,34
20170304_810b89ab9772b0c5f2d1bd8a8963499a.js,842,38,22.2,24,0.069,,,,4.3,53.6,24,124,16.50980392,10,51,22,48,34
20170422_8a25642b89768e97cac2248d3ece16ae.js,2527,90,28.1,77,0.024,,,,13.4,55.8,24.9,121,48.59615385,10,52,16,203,58
20170425_227d9a091d8156e5ebccab7f76e3f79e.js,2465,66,37.3,58,0.025,,,,13.7,58.7,22.5,119,47.40384615,9,52,16,203,58
20170306_fbb7e6840238ac85698cc001df13289a.js,843,38,22.2,26,0.072,,,,4.4,52.6,24.6,118,17.20408163,10,49,22,52,34
